domain,founding_year,country,city,funding_stage,total_funding_usd_millions,valuation_usd_millions,revenue_arr_millions,monthly_burn_rate_millions,runway_months_2024,peak_headcount_2023,layoffs_2024_2025,current_headcount_2026,investor_tier,ai_adoption_level,acquisition_status,founding_year_age,total_funding_usd_millions_log1p,valuation_usd_millions_log1p,revenue_arr_millions_log1p,funding_per_employee,valuation_to_revenue,layoff_rate
Generative AI,2020,USA,New York,Seed,9.9,64.71,3.35,0.51,16.2,50,0,50,Tier 2 (Mid-size VC),High,Independent,6,2.388762789235098,4.1852511209097765,1.4701758451005926,0.198,19.316417910447758,0.0
EdTech,2018,China,Shanghai,Seed,1.82,39.54,1.56,0.59,2.6,33,0,33,Tier 3 (Angel/Seed),High,Independent,8,1.0367368849500223,3.702289141023854,0.9400072584914712,0.05515151515151515,25.346153846153843,0.0
ClimateTech,2018,USA,Austin,Series B,9.17,98.95,10.13,0.83,9.9,47,22,25,Tier 2 (Mid-size VC),Medium,Independent,8,2.3194422100604686,4.604670060946409,2.4096441652874536,0.3668,9.7680157946693,0.46808510638297873
SpaceTech,2019,India,Mumbai,Series C+,198.64,2075.0,163.0,13.79,14.3,782,0,782,Tier 2 (Mid-size VC),,Independent,7,5.296515744601408,7.638198244285779,5.099866427824199,0.2540153452685422,12.730061349693251,0.0
FinTech,2012,UK,Oxford,Series A,2.32,29.94,4.41,0.31,5.7,27,0,27,Tier 3 (Angel/Seed),Medium,Independent,14,1.199964782928397,3.43204984514492,1.6882490928583902,0.08592592592592592,6.789115646258503,0.0
HealthTech,2022,USA,Miami,Series B,46.32,360.93,14.68,2.6,17.2,178,0,178,Tier 3 (Angel/Seed),High,IPO,4,3.856933039110186,5.8914508229616045,2.7523860149222616,0.2602247191011236,24.58651226158038,0.0
HealthTech,2016,China,Hangzhou,Seed,0.94,11.62,0.52,0.88,1.0,45,0,45,Tier 3 (Angel/Seed),High,Independent,10,0.6626879730752367,2.5352828571130672,0.41871033485818504,0.020888888888888887,22.346153846153843,0.0
FinTech,2014,USA,Boston,Series A,23.16,133.11,9.76,1.09,19.5,101,0,101,Tier 2 (Mid-size VC),High,Independent,12,3.184698373066614,4.898660358722849,2.3758355547336385,0.22930693069306932,13.63831967213115,0.0
Cybersecurity,2024,USA,Miami,Seed,2.71,32.56,1.27,0.64,3.7,38,13,25,Corporate VC (e.g. Google Ventures),High,Independent,2,1.3110318766193438,3.5133348815990053,0.8197798314933114,0.1084,25.637795275590552,0.34210526315789475
SpaceTech,2019,France,Lyon,Seed,6.08,81.52,4.63,0.93,5.9,52,0,52,Tier 2 (Mid-size VC),High,Independent,7,1.9572739077056285,4.413040688203051,1.728109442151599,0.11692307692307692,17.606911447084233,0.0
Generative AI,2019,India,Bengaluru,Series C+,39.65,266.88,30.96,1.45,25.6,143,0,143,Corporate VC (e.g. Google Ventures),Medium,Independent,7,3.7049988359938197,5.59053911904185,3.464485120898074,0.2772727272727273,8.62015503875969,0.0
ClimateTech,2020,Japan,Kyoto,Seed,1.32,22.41,1.1,0.51,2.2,30,0,30,Tier 3 (Angel/Seed),High,Independent,6,0.8415671856782186,3.1531632815028194,0.7419373447293773,0.044000000000000004,20.37272727272727,0.0
HealthTech,2019,Japan,Tokyo,Series B,25.13,109.51,4.12,2.43,9.9,208,0,208,Tier 3 (Angel/Seed),High,Independent,7,3.263084079532521,4.705106014600691,1.6331544390514163,0.12081730769230768,26.58009708737864,0.0
EdTech,2019,USA,Boston,Series B,13.63,58.73,2.74,0.92,13.4,52,10,42,Tier 2 (Mid-size VC),,Closed,7,2.683074215032033,4.089834406744215,1.3190856114264407,0.32452380952380955,21.434306569343065,0.19230769230769232
Robotics,2020,USA,San Francisco,Seed,0.77,19.97,0.92,0.32,1.8,32,0,32,Tier 2 (Mid-size VC),High,Independent,6,0.5709795465857378,3.0430928449138284,0.6523251860396903,0.0240625,21.706521739130434,0.0
Web3/Crypto,2018,USA,New York,Seed,2.16,34.15,1.36,0.7,2.7,45,38,7,Tier 2 (Mid-size VC),,Acquired (Fire Sale),8,1.1505720275988207,3.5596246182566738,0.8586616190375187,0.3085714285714286,25.110294117647054,0.8444444444444444
EdTech,2019,Germany,Munich,Series B,118.02,840.05,28.27,7.21,16.1,684,224,460,Tier 3 (Angel/Seed),Medium,Independent,7,4.779291546216706,6.734651111237791,3.3765631007037946,0.25656521739130433,29.71524584365051,0.32748538011695905
ClimateTech,2017,USA,New York,Series A,2.15,23.09,0.82,0.51,3.5,36,16,20,Tier 2 (Mid-size VC),Low,Acquired,9,1.1474024528375417,3.18179681662678,0.598836501088704,0.1075,28.158536585365855,0.4444444444444444
FinTech,2022,UK,London,Pre-IPO,128.87,995.33,75.33,11.92,10.7,738,333,405,Tier 3 (Angel/Seed),High,Independent,4,4.866533950121999,6.904078528009697,4.335066045810379,0.31819753086419755,13.212929775653791,0.45121951219512196
FinTech,2019,USA,Boston,Series A,4.19,59.09,2.99,0.3,10.5,22,0,22,Corporate VC (e.g. Google Ventures),Medium,Independent,7,1.6467336971777973,4.095843438345836,1.3837912309017721,0.19045454545454546,19.762541806020067,0.0
HealthTech,2021,China,Beijing,Series A,6.7,70.37,4.23,0.5,11.2,39,19,20,Corporate VC (e.g. Google Ventures),Medium,Independent,5,2.0412203288596382,4.267877612982976,1.6544112780768316,0.335,16.63593380614657,0.48717948717948717
Web3/Crypto,2019,USA,San Francisco,Series A,4.14,59.72,2.0,1.05,3.6,57,47,10,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,7,1.6370530794670737,4.106273133087375,1.0986122886681098,0.414,29.86,0.8245614035087719
ClimateTech,2013,UK,Oxford,Seed,2.23,36.46,1.52,0.84,2.4,43,0,43,Corporate VC (e.g. Google Ventures),Medium,Acquired,13,1.172482137234565,3.6232736970159425,0.9242589015233319,0.05186046511627907,23.986842105263158,0.0
Cybersecurity,2020,USA,Seattle,Series A,20.22,199.87,11.31,0.91,20.0,89,0,89,Tier 2 (Mid-size VC),High,Independent,6,3.054944133185837,5.302657932646457,2.510411940196362,0.22719101123595503,17.671971706454464,0.0
Cybersecurity,2020,China,Hangzhou,Series A,5.38,43.65,2.98,0.67,7.0,40,15,25,Corporate VC (e.g. Google Ventures),Medium,Acquired,6,1.8531680973566984,3.798854307322508,1.3812818192963463,0.2152,14.64765100671141,0.375
Generative AI,2014,USA,Austin,Series C+,45.32,451.56,16.05,0.9,45.3,83,0,83,Tier 3 (Angel/Seed),High,Acquired,12,3.83557383326474,6.1149203510349,2.8361502037295256,0.5460240963855422,28.134579439252335,0.0
Generative AI,2020,USA,Miami,Series B,20.29,216.99,11.33,2.7,7.2,173,0,173,Tier 3 (Angel/Seed),Medium,Independent,6,3.058237478905388,5.384449190177324,2.512035317176253,0.11728323699421965,19.15180935569285,0.0
EdTech,2018,USA,New York,Seed,0.2,17.3,0.75,0.3,0.5,22,0,22,Tier 2 (Mid-size VC),High,Independent,8,0.18232155679395465,2.9069010598473755,0.5596157879354227,0.009090909090909092,23.066666666666666,0.0
Cybersecurity,2025,USA,Austin,Series B,19.42,121.89,7.1,1.0,17.7,52,14,38,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,1,3.01651481273652,4.811289646296506,2.0918640616783932,0.5110526315789474,17.16760563380282,0.2692307692307692
HealthTech,2022,USA,Seattle,Series B,7.32,82.57,13.84,0.18,26.1,14,0,14,Tier 2 (Mid-size VC),High,Independent,4,2.1186622548331173,4.425684604013345,2.6973262377392344,0.5228571428571429,5.966040462427745,0.0
HealthTech,2023,USA,New York,Series C+,17.85,147.98,7.77,0.59,25.9,52,0,52,Corporate VC (e.g. Google Ventures),Low,Closed,3,2.93651291389402,5.00381206874813,2.1713368063840917,0.34326923076923077,19.045045045045043,0.0
Cybersecurity,2019,USA,New York,Series C+,9.1,98.8,10.29,1.1,7.6,55,0,55,Tier 3 (Angel/Seed),High,Independent,7,2.312535423847214,4.603168183317418,2.4239173781615704,0.16545454545454544,9.601554907677357,0.0
SpaceTech,2020,USA,San Francisco,Series A,21.99,127.02,5.53,2.07,10.1,162,0,162,"Tier 1 (e.g. Sequoia, a16z)",Low,Acquired,6,3.1350593387750902,4.852186501713857,1.8764069432883397,0.13574074074074072,22.969258589511753,0.0
SpaceTech,2020,UK,Oxford,Series A,15.65,193.88,6.99,0.96,14.8,82,26,56,Tier 3 (Angel/Seed),Low,Independent,6,2.8124102164264526,5.272383984521532,2.0781907597781832,0.2794642857142857,27.73676680972818,0.3170731707317073
FinTech,2022,India,Delhi NCR,Series B,11.82,67.2,2.63,0.88,12.1,52,3,49,Corporate VC (e.g. Google Ventures),Medium,Independent,4,2.551006451492524,4.222444564849416,1.2892326482767593,0.24122448979591837,25.55133079847909,0.057692307692307696
FinTech,2015,Israel,Jerusalem,Series A,1.54,21.88,1.65,0.23,4.7,13,7,6,Tier 2 (Mid-size VC),Medium,Acquired (Fire Sale),11,0.9321640810304452,3.130263166511597,0.9745596399981308,0.25666666666666665,13.26060606060606,0.5384615384615384
SpaceTech,2020,Canada,Montreal,Series A,2.97,29.61,5.12,0.44,5.5,36,19,17,Corporate VC (e.g. Google Ventures),Low,Acquired (Fire Sale),6,1.3787660946990992,3.421326752957321,1.8115620965242347,0.17470588235294118,5.783203125,0.5277777777777778
FinTech,2018,USA,Boston,Series A,2.9,23.26,1.9,0.6,4.1,43,0,43,Tier 3 (Angel/Seed),High,Independent,8,1.3609765531356006,3.1888289035159043,1.0647107369924282,0.06744186046511627,12.242105263157896,0.0
SpaceTech,2015,Canada,Montreal,Series C+,203.25,874.43,39.67,8.03,25.0,485,96,389,Tier 2 (Mid-size VC),High,Independent,11,5.319344733740112,6.774715194217569,3.7054907199191334,0.5224935732647815,22.04260146206201,0.1979381443298969
EdTech,2019,USA,New York,Series B,11.94,96.3,4.73,1.0,10.9,65,0,65,Tier 2 (Mid-size VC),High,Closed,7,2.5603232890727545,4.577798989191959,1.7457155307266483,0.18369230769230768,20.359408033826636,0.0
EdTech,2013,China,Hangzhou,Series A,5.18,48.21,2.92,0.36,11.3,23,13,10,Tier 3 (Angel/Seed),,Closed,13,1.8213182714695995,3.8960968548778867,1.366091653802371,0.518,16.51027397260274,0.5652173913043478
EdTech,2022,India,Hyderabad,Series A,2.31,33.75,1.74,0.6,3.3,39,24,15,Tier 3 (Angel/Seed),Medium,Acquired (Fire Sale),4,1.1969481893889715,3.548179572010801,1.007957920399979,0.154,19.396551724137932,0.6153846153846154
Cybersecurity,2021,Israel,Tel Aviv,Series A,9.38,78.95,2.66,0.79,10.5,58,0,58,Tier 3 (Angel/Seed),High,Independent,5,2.3398808777377424,4.381401439279963,1.297463147413275,0.1617241379310345,29.68045112781955,0.0
Generative AI,2016,India,Bengaluru,Series C+,716.69,4956.97,416.18,23.82,30.0,2039,0,2039,Tier 2 (Mid-size VC),Medium,Independent,10,6.5760377209406,8.508751661749884,6.033517783338981,0.35149092692496325,11.910639627084436,0.0
HealthTech,2019,China,Shanghai,Seed,0.58,24.43,0.88,0.2,1.9,14,9,5,Tier 2 (Mid-size VC),High,Closed,7,0.4574248470388754,3.2359295794340284,0.6312717768418579,0.11599999999999999,27.761363636363637,0.6428571428571429
Generative AI,2023,USA,Boston,Series C+,664.23,7502.94,380.98,15.1,43.7,786,0,786,Tier 3 (Angel/Seed),,Acquired,3,6.500132845520113,8.923183494918487,5.945368251215008,0.8450763358778626,19.69378970024673,0.0
Generative AI,2017,India,Mumbai,Seed,1.14,20.44,0.68,0.45,2.1,28,0,28,Tier 3 (Angel/Seed),High,Independent,9,0.76080582903376,3.0652583362026014,0.5187937934151675,0.04071428571428571,30.058823529411764,0.0
ClimateTech,2017,USA,Seattle,Seed,2.27,33.64,1.89,0.4,4.5,39,0,39,"Tier 1 (e.g. Sequoia, a16z)",High,Independent,9,1.184789984909162,3.5450090836942345,1.0612565021243408,0.05820512820512821,17.7989417989418,0.0
ClimateTech,2020,China,Shenzhen,Seed,1.2,18.95,0.66,0.26,3.3,13,6,7,Corporate VC (e.g. Google Ventures),Low,Independent,6,0.7884573603642702,2.9932291433358724,0.5068176023684519,0.17142857142857143,28.71212121212121,0.46153846153846156
Generative AI,2013,UK,Cambridge,Series B,43.91,202.86,10.62,1.15,35.1,87,0,87,Tier 3 (Angel/Seed),High,IPO,13,3.8046604870996465,5.317433483740267,2.4527277514237653,0.5047126436781609,19.10169491525424,0.0
Generative AI,2023,India,Hyderabad,Seed,2.48,32.46,1.74,0.09,13.1,7,0,7,Tier 2 (Mid-size VC),Medium,Closed,3,1.247032293786383,3.510350695558678,1.007957920399979,0.35428571428571426,18.655172413793103,0.0
SpaceTech,2020,China,Shanghai,Series A,10.07,120.7,9.14,0.73,12.1,40,0,40,Tier 2 (Mid-size VC),Low,Independent,6,2.4042387467205457,4.801558999993482,2.316487998163037,0.25175000000000003,13.205689277899342,0.0
Robotics,2021,USA,New York,Series B,3.75,29.9,2.03,0.52,6.0,45,0,45,Tier 3 (Angel/Seed),High,Independent,5,1.55814461804655,3.4307561839036995,1.1085626195212777,0.08333333333333333,14.729064039408868,0.0
Generative AI,2015,China,Shenzhen,Series A,64.56,696.51,25.64,4.83,13.1,407,33,374,Tier 3 (Angel/Seed),Low,Independent,11,4.182965753875629,6.547516850510311,3.2824138456721883,0.172620320855615,27.164976599063962,0.08108108108108109
SpaceTech,2019,USA,New York,Series A,11.83,50.73,3.03,0.51,19.4,28,0,28,Tier 3 (Angel/Seed),Low,Independent,7,2.551786178627545,3.9460378840154235,1.3937663759585914,0.4225,16.742574257425744,0.0
Autonomous Vehicles,2016,Israel,Jerusalem,Series B,1.47,33.17,4.02,0.49,2.5,29,12,17,Tier 2 (Mid-size VC),High,Independent,10,0.9042181506398859,3.5313480661272005,1.6134299337036377,0.08647058823529412,8.251243781094528,0.41379310344827586
HealthTech,2020,UK,London,Series A,15.97,67.01,3.17,1.15,12.8,58,0,58,Corporate VC (e.g. Google Ventures),Medium,Closed,6,2.831447079246135,4.219654753187547,1.4279160358107101,0.27534482758620693,21.138801261829656,0.0
FinTech,2020,USA,Miami,Seed,0.96,24.24,1.7,0.67,1.2,42,0,42,"Tier 1 (e.g. Sequoia, a16z)",High,Closed,6,0.6729444732424258,3.228430037673012,0.9932517730102833,0.022857142857142857,14.258823529411764,0.0
Web3/Crypto,2017,USA,Seattle,Seed,0.46,13.67,0.76,0.12,2.1,8,4,4,Corporate VC (e.g. Google Ventures),High,IPO,9,0.3784364357202451,2.6858045921548905,0.5653138090500605,0.115,17.986842105263158,0.5
HealthTech,2018,USA,Seattle,Post-IPO,181.57,1108.07,55.64,5.73,31.1,325,77,248,"Tier 1 (e.g. Sequoia, a16z)",Medium,Independent,8,5.207133661125419,7.0112771052862515,4.036715449385464,0.7321370967741935,19.914989216391085,0.23692307692307693
Web3/Crypto,2020,UK,London,Post-IPO,1484.93,17066.67,1674.98,35.03,42.3,2996,0,2996,Tier 2 (Mid-size VC),,Closed,6,7.30379611784246,9.74494130969398,7.4241533477966035,0.4956375166889186,10.189178378249292,0.0
HealthTech,2021,UK,London,Series A,1.63,20.47,2.7,0.52,2.6,31,10,21,Tier 3 (Angel/Seed),High,Independent,5,0.9669838461896731,3.0666566118906897,1.308332819650179,0.07761904761904762,7.581481481481481,0.3225806451612903
SpaceTech,2018,India,Bengaluru,Series A,6.43,60.69,2.34,0.49,10.9,32,8,24,Tier 3 (Angel/Seed),Low,IPO,8,2.005525858729668,4.122121843221548,1.205970806988609,0.26791666666666664,25.935897435897438,0.25
Generative AI,2020,USA,Austin,Series B,57.5,611.48,40.02,3.59,15.6,260,115,145,Tier 3 (Angel/Seed),,Independent,6,4.069026754237811,6.417516288824535,3.7140597526442347,0.39655172413793105,15.279360319840078,0.4423076923076923
Web3/Crypto,2019,USA,Austin,Series B,37.86,450.27,16.22,1.74,20.6,132,0,132,Tier 2 (Mid-size VC),High,Independent,7,3.659965443949294,6.112065829994569,2.8460714989995846,0.2868181818181818,27.760172626387178,0.0
FinTech,2020,USA,Boston,Seed,1.32,22.35,2.03,0.26,3.7,14,7,7,Tier 3 (Angel/Seed),High,Independent,6,0.8415671856782186,3.150596984114906,1.1085626195212777,0.18857142857142858,11.00985221674877,0.5
Generative AI,2020,Germany,Munich,Series A,0.0,39.96,1.8,0.62,0.0,40,0,40,Bootstrapped,Low,Independent,6,0.0,3.7125959807312525,1.0296194171811581,0.0,22.2,0.0
Autonomous Vehicles,2020,USA,San Francisco,Pre-IPO,191.73,1247.91,47.06,11.18,17.0,692,214,478,Tier 2 (Mid-size VC),Low,Independent,6,5.26129024571096,7.130026449883184,3.872450230308323,0.4011087866108786,26.51742456438589,0.3092485549132948
ClimateTech,2021,Singapore,Singapore,Post-IPO,302.12,3086.0,202.38,24.34,12.4,1312,370,942,Corporate VC (e.g. Google Ventures),High,Independent,5,5.7141287667103455,8.034955024502159,5.315076150362992,0.32072186836518046,15.24854234608163,0.2820121951219512
HealthTech,2019,China,Shenzhen,Seed,2.51,33.04,1.35,0.7,3.1,48,0,48,Corporate VC (e.g. Google Ventures),High,Independent,7,1.2556160374777743,3.5275363037051735,0.8544153281560676,0.05229166666666666,24.47407407407407,0.0
HealthTech,2022,India,Bengaluru,Series A,8.44,96.85,11.71,0.63,11.6,42,15,27,Tier 2 (Mid-size VC),High,Independent,4,2.244955980157409,4.583435693842085,2.542389085201363,0.3125925925925926,8.270708795900939,0.35714285714285715
